countyFIPS,County Name,State,stateFIPS,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020,7/21/2020,7/22/2020,7/23/2020,7/24/2020,7/25/2020,7/26/2020,7/27/2020,7/28/2020,7/29/2020,7/30/2020,7/31/2020,8/1/2020,8/2/2020,8/3/2020,8/4/2020,8/5/2020,8/6/2020,8/7/2020,8/8/2020,8/9/2020,8/10/2020,8/11/2020,8/12/2020,8/13/2020,8/14/2020,8/15/2020,8/16/2020,8/17/2020,8/18/2020,8/19/2020,8/20/2020,8/21/2020,8/22/2020,8/23/2020,8/24/2020,8/25/2020,8/26/2020,8/27/2020,8/28/2020,8/29/2020,8/30/2020,8/31/2020,9/1/2020,9/2/2020,9/3/2020,9/4/2020,9/5/2020,9/6/2020,9/7/2020,9/8/2020,9/9/2020,9/10/2020,9/11/2020,9/12/2020,9/13/2020,9/14/2020,9/15/2020,9/16/2020,9/17/2020,9/18/2020,9/19/2020,9/20/2020,9/21/2020,9/22/2020,9/23/2020,9/24/2020,9/25/2020,9/26/2020,9/27/2020,9/28/2020,9/29/2020,9/30/2020,10/1/2020,10/2/2020,10/3/2020,10/4/2020,10/5/2020,10/6/2020,10/7/2020,10/8/2020,10/9/2020,10/10/2020,10/11/2020,10/12/2020,10/13/2020,10/14/2020,10/15/2020,10/16/2020,10/17/2020,10/18/2020,10/19/2020,10/20/2020,10/21/2020,10/22/2020,10/23/2020,10/24/2020,10/25/2020,10/26/2020,10/27/2020,10/28/2020,10/29/2020,10/30/2020,10/31/2020,11/1/2020,11/2/2020,11/3/2020,11/4/2020,11/5/2020,11/6/2020
0,Statewide Unallocated,GA,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,6,31,37,27,46,79,160,178,208,229,226,114,183,485,665,264,88,283,309,441,871,951,1226,1300,1060,1056,952,677,724,774,827,870,951,977,1003,978,916,991,1022,990,942,1031,976,1089,1078,1069,1097,1038,1024,1089,1097,1118,1443,1563,1540,1561,1555,1530,1555,1649,1649,1640,1635,1695,1750,1840,1914,1989,1919,3290,3199,2999,3195,3710,3639,3586,3328,3214,3269,3542,3630,3650,3550,3341,3443,3438,3933,4216,4343,3663,3874,3716,3706,4913,4647,4445,4129,4127,4458,4508,5148,6774,7170,6032,6520,7440,6955,6995,7359,7115,7675,8403,8924,8761,9264,9911,9842,10955,11351,11749,12219,13159,14083,14806,14803,14850,15010,15778,15983,16576,17138,17348,17205,17020,17321,17555,17863,17863,17863,17863,18067,18232,18678,19200,19605,19333,19200,19442,19332,19582,19596,19781,19721,19493,19172,19150,19124,19309,19309,19214,18693,18621,18552,18618,18758,18703,18633,18639,18651,18812,18801,19030,19061,19052,19072,18975,18965,19053,19058,19052,18892,19119,19140,19032,19361,19445,19750,19633,19144,18947,18648,18555,18601,18541,18518,18747,18747,18447,18385,18419,18472,18352,18187,18021,17865,17652,17508,17510,17269,17006,16884,16601,16536,16432,16436,16153,16047,16190,16227,16342,16365,16390,16581,16621,16729,16729,16864,17017,17048,17116,16955,16883,17007
13057,Cherokee County,GA,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,5,5,7,7,9,13,16,17,18,24,30,36,44,50,54,60,69,78,85,94,114,120,124,141,147,155,167,177,186,187,204,219,232,245,274,285,300,317,324,340,365,367,368,374,393,430,456,467,474,482,490,509,516,544,568,578,593,607,624,635,656,676,695,700,714,732,745,758,770,790,808,825,831,850,861,874,885,890,909,910,918,924,939,955,958,966,976,983,994,1004,1017,1024,1036,1041,1057,1062,1073,1085,1094,1108,1118,1134,1158,1179,1209,1244,1250,1300,1330,1360,1376,1416,1443,1461,1503,1565,1596,1651,1701,1745,1760,1789,1828,1868,1927,2014,2086,2110,2125,2202,2267,2312,2364,2419,2453,2481,2579,2623,2687,2743,2791,2853,2885,2976,3085,3155,3269,3398,3462,3535,3609,3707,3796,3861,3939,3981,4005,4065,4126,4186,4262,4319,4369,4412,4459,4565,4653,4720,4791,4817,4856,4895,4962,5056,5095,5144,5200,5211,5227,5271,5338,5395,5473,5513,5545,5573,5632,5675,5712,5738,5770,5786,5811,5868,5912,5959,5994,6021,6033,6066,6118,6159,6185,6218,6239,6275,6289,6335,6359,6393,6423,6471,6497,6518,6571,6625,6680,6715,6746,6756,6778,6820,6881,6950,6998,7037,7057,7082,7161,7219,7242,7318,7364,7386,7441,7498,7536,7587
13063,Clayton County,GA,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,6,6,10,13,13,19,21,29,37,53,57,59,62,112,128,165,206,235,238,254,278,289,298,328,339,372,396,435,462,473,499,505,520,540,547,549,616,629,641,641,649,667,691,713,726,777,793,804,813,848,878,888,901,925,946,951,957,987,999,1002,1005,1009,1012,1034,1047,1071,1089,1120,1138,1174,1189,1204,1215,1217,1221,1234,1241,1270,1294,1311,1323,1333,1349,1368,1390,1409,1418,1427,1432,1444,1485,1497,1532,1564,1569,1618,1652,1714,1740,1782,1835,1874,1884,1889,1972,2053,2118,2221,2280,2346,2387,2452,2519,2607,2713,2754,2806,2831,2984,3060,3132,3236,3331,3411,3455,3542,3630,3737,3838,3948,4002,4063,4151,4248,4339,4413,4468,4518,4557,4626,4716,4790,4879,4952,5006,5059,5154,5245,5301,5380,5450,5522,5570,5640,5712,5827,5914,5980,6042,6087,6124,6283,6344,6366,6430,6458,6478,6529,6561,6596,6618,6647,6664,6671,6695,6721,6761,6786,6819,6850,6877,6914,6960,7010,7010,7010,7015,7043,7049,7049,7049,7061,7078,7078,7090,7090,7107,7114,7121,7159,7178,7182,7182,7245,7289,7347,7408,7466,7509,7569,7616,7686,7754,7799,7842,7859,7897,7948,7983,8037,8102,8137,8168,8200,8253,8298,8362,8417,8467,8485,8532,8586,8624,8661
13067,Cobb County,GA,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,6,8,8,8,15,19,22,25,28,37,47,50,67,79,90,109,119,163,185,228,250,287,304,341,422,453,474,517,566,608,653,681,705,728,816,895,950,1014,1085,1104,1148,1196,1230,1272,1326,1368,1395,1428,1483,1514,1571,1615,1676,1749,1768,1840,1884,1999,2024,2072,2127,2175,2220,2254,2284,2363,2395,2406,2406,2429,2504,2587,2625,2653,2664,2703,2817,2861,2907,2943,2990,3010,3027,3052,3063,3119,3180,3225,3238,3262,3322,3348,3431,3484,3543,3576,3606,3626,3703,3723,3773,3834,3854,3938,4059,4198,4294,4378,4506,4598,4609,4777,4963,5181,5388,5557,5689,5766,5917,6140,6264,6460,6809,6952,7061,7170,7388,7571,7713,7972,8223,8370,8510,8759,8966,9380,9717,10009,10120,10240,10453,10653,10920,11206,11436,11690,11844,12135,12489,12718,13049,13336,13564,13729,14006,14279,14463,14690,14826,14893,14962,15086,15247,15449,15687,15816,15931,16055,16144,16369,16536,16630,16840,16896,16966,17097,17210,17375,17479,17595,17734,17792,17850,18005,18155,18255,18433,18495,18550,18601,18719,18839,18941,19000,19041,19092,19174,19283,19354,19430,19513,19551,19576,19634,19740,19829,19872,19968,20010,20054,20120,20224,20294,20367,20439,20545,20610,20679,20838,20924,21041,21118,21158,21196,21255,21367,21453,21563,21676,21750,21814,21867,21977,22059,22132,22342,22375,22430,22587,22709,22836,22913
13089,DeKalb County,GA,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,5,5,8,10,10,15,18,22,36,41,53,74,107,125,137,219,246,273,294,360,373,409,483,539,549,600,673,732,766,826,848,893,1006,1144,1225,1260,1366,1408,1473,1520,1563,1609,1689,1721,1788,1800,1855,1885,1966,2023,2068,2145,2181,2250,2274,2353,2391,2440,2484,2530,2561,2605,2632,2664,2754,2799,2802,2856,2918,2980,3048,3080,3146,3261,3305,3434,3578,3639,3718,3732,3734,3799,3828,3901,3964,3985,4008,4035,4083,4167,4214,4251,4301,4304,4334,4371,4457,4508,4590,4656,4668,4740,4866,5060,5179,5279,5393,5442,5450,5589,5914,6033,6258,6452,6702,6919,7092,7195,7365,7555,8024,8146,8255,8387,8784,8980,9165,9308,9597,9732,9800,9950,10203,10480,10767,11025,11159,11281,11494,11679,11916,12127,12348,12476,12604,12760,12998,13237,13509,13752,13923,14047,14292,14485,14563,14746,14926,15030,15101,15312,15422,15605,15731,15860,15959,16004,16086,16193,16278,16368,16443,16498,16555,16650,16716,16837,16900,17004,17089,17100,17169,17237,17314,17380,17477,17536,17610,17698,17777,17849,17907,18006,18072,18110,18192,18302,18418,18521,18600,18647,18699,18773,18859,18938,19030,19084,19128,19166,19263,19389,19473,19571,19613,19702,19743,19797,19857,19969,20088,20182,20275,20306,20394,20482,20583,20769,20883,20977,21049,21101,21231,21335,21441,21587,21678,21744,21882,22109,22261,22379
13097,Douglas County,GA,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,7,12,18,18,32,35,38,43,51,56,66,78,84,91,105,117,124,134,148,151,159,177,189,201,209,222,229,233,243,246,259,273,276,276,278,284,298,311,319,329,335,341,343,353,363,366,398,400,403,417,417,422,429,433,437,437,439,445,452,455,478,488,493,504,517,521,529,538,540,543,547,549,557,576,589,592,594,609,615,631,635,648,655,657,665,669,691,701,709,718,729,756,787,799,828,860,878,878,901,946,981,1025,1060,1082,1103,1145,1189,1235,1304,1367,1390,1410,1448,1499,1545,1576,1632,1692,1733,1750,1805,1853,1914,1970,2027,2057,2078,2117,2158,2203,2245,2279,2317,2331,2400,2464,2493,2549,2602,2635,2678,2728,2773,2812,2838,2859,2874,2892,2911,2928,2963,2992,3015,3029,3048,3060,3092,3105,3123,3149,3154,3167,3179,3192,3216,3227,3238,3250,3260,3269,3293,3308,3319,3343,3350,3358,3373,3389,3410,3423,3432,3440,3447,3457,3485,3499,3520,3543,3550,3558,3571,3595,3621,3633,3656,3671,3682,3693,3747,3761,3779,3809,3838,3850,3864,3877,3896,3911,3933,3945,3948,3960,3983,4002,4039,4053,4066,4078,4084,4114,4135,4147,4197,4204,4215,4237,4270,4302,4333
13113,Fayette County,GA,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,4,4,5,5,5,8,9,9,9,9,11,12,12,14,22,26,27,42,48,48,55,61,66,67,74,81,90,93,93,99,100,106,115,122,126,134,136,139,143,144,146,156,158,161,161,169,171,174,176,178,181,183,187,187,188,190,190,195,199,201,202,202,204,205,206,207,210,213,213,213,215,219,220,229,231,231,231,234,235,235,235,238,239,243,244,245,245,251,253,257,259,259,260,261,262,270,271,277,278,280,285,295,304,308,320,323,326,326,337,345,353,377,391,408,415,429,460,474,484,502,509,514,522,549,565,584,612,629,654,669,693,702,742,764,788,805,825,855,873,898,918,949,970,980,994,1028,1047,1078,1100,1120,1131,1159,1187,1210,1243,1263,1277,1305,1341,1365,1388,1394,1404,1412,1419,1434,1453,1492,1539,1564,1568,1573,1585,1595,1606,1613,1624,1628,1628,1632,1644,1653,1657,1667,1675,1681,1693,1701,1715,1725,1734,1745,1752,1754,1763,1789,1808,1840,1850,1855,1860,1877,1896,1906,1914,1922,1925,1931,1937,1947,1953,1953,1962,1966,1979,1987,2005,2012,2019,2040,2049,2062,2073,2087,2101,2104,2116,2123,2129,2129,2135,2145,2172,2193,2203,2217,2227,2239,2248
13121,Fulton County,GA,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,5,5,6,8,8,13,20,27,33,49,66,88,99,111,152,191,204,231,347,378,425,503,599,638,747,910,959,970,1053,1185,1261,1336,1417,1446,1495,1635,1812,1902,1945,2037,2065,2131,2198,2206,2255,2436,2500,2543,2545,2680,2720,2766,2808,2889,2925,2978,3063,3157,3251,3258,3316,3385,3508,3525,3595,3615,3627,3709,3746,3752,3752,3794,3794,3872,3932,3977,4054,4081,4256,4311,4370,4495,4511,4524,4626,4659,4690,4773,4793,4822,4845,4911,4964,5021,5065,5092,5099,5111,5111,5244,5307,5382,5435,5450,5569,5804,5928,6125,6250,6455,6604,6615,6848,7146,7444,7641,8019,8445,8675,8967,9169,9382,9784,10141,10381,10611,10763,11354,11746,12184,12584,12872,13117,13379,13779,14169,14673,15221,15649,15843,16073,16482,16867,17286,17646,17858,18079,18224,18566,18996,19230,19647,20049,20276,20468,20874,21140,21373,21601,21867,21993,22107,22484,22760,23068,23375,23622,23751,23825,23987,24211,24378,24586,24747,24801,24891,25063,25150,25339,25439,25540,25631,25681,25756,25861,25934,26022,26108,26225,26289,26360,26517,26620,26778,26910,26992,27080,27122,27247,27305,27389,27480,27529,27605,27650,27684,27790,27855,27994,28096,28198,28258,28392,28581,28834,28942,29072,29170,29274,29329,29429,29562,29678,29819,29885,29996,30141,30264,30540,30691,30838,30926,31038,31220,31315,31428,31655,31753,31843,31971,32134,32328,32433
13135,Gwinnett County,GA,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,4,5,7,7,12,23,23,27,35,46,69,79,121,131,145,178,242,257,303,353,400,410,455,540,586,618,669,681,701,766,815,885,917,1037,1059,1124,1181,1238,1273,1351,1382,1460,1504,1545,1603,1720,1786,1844,1932,1974,2056,2097,2222,2253,2323,2403,2447,2487,2495,2511,2556,2594,2594,2594,2686,2766,2824,2889,2962,2997,3061,3200,3321,3485,3628,3734,3770,3780,3874,3919,4122,4323,4414,4433,4535,4652,4751,4908,5026,5112,5144,5244,5361,5598,5685,5843,6032,6055,6284,6572,6801,7116,7271,7533,7666,7688,7963,8247,8536,8758,9273,9491,9645,9871,10041,10259,10565,10879,11114,11326,11488,11882,12217,12489,12897,13234,13444,13614,13878,14099,14442,14801,15134,15315,15534,15915,16255,16711,17130,17511,17781,17927,18201,18550,18854,19187,19548,19808,19971,20382,20685,20900,21175,21411,21534,21655,21936,22196,22455,22786,22991,23096,23178,23411,23636,23812,23972,24137,24182,24252,24477,24608,24763,24870,25019,25107,25127,25215,25376,25495,25611,25726,25806,25863,26019,26133,26280,26403,26550,26618,26678,26744,26931,27051,27187,27296,27358,27424,27519,27647,27733,27844,27986,28074,28129,28207,28328,28461,28593,28712,28796,28861,29015,29157,29295,29418,29558,29689,29748,29866,29916,29959,30109,30204,30306,30383,30489,30596,30746,30894,31102,31218,31348,31473,31647,31787,31933
13151,Henry County,GA,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,6,7,7,9,13,20,29,44,50,56,68,86,95,115,143,167,168,181,208,219,233,249,254,263,289,306,328,330,350,355,371,382,384,386,413,419,436,451,464,484,492,492,492,512,520,520,527,546,558,566,591,604,611,611,611,611,611,611,611,611,611,615,623,626,626,635,653,655,672,672,686,689,690,693,696,735,750,755,756,761,777,780,806,818,834,839,851,852,878,893,907,928,928,956,992,1049,1070,1080,1113,1140,1141,1174,1224,1266,1322,1379,1414,1448,1491,1525,1569,1638,1712,1751,1769,1781,1851,1932,1976,2027,2098,2163,2213,2260,2301,2389,2479,2547,2591,2630,2696,2751,2841,2895,2954,2987,3019,3055,3138,3184,3252,3320,3364,3411,3457,3513,3537,3588,3694,3735,3786,3819,3886,3948,4006,4087,4117,4145,4166,4263,4310,4335,4391,4399,4417,4442,4467,4492,4529,4567,4583,4592,4609,4633,4649,4679,4710,4734,4751,4777,4813,4850,4895,4947,4977,4994,5026,5073,5115,5156,5181,5208,5218,5248,5281,5307,5352,5399,5416,5429,5469,5510,5551,5587,5618,5649,5669,5699,5723,5770,5816,5853,5905,5936,5957,5974,5999,6050,6096,6136,6163,6204,6223,6269,6304,6359,6395,6425,6447,6504,6568,6593
